Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
,5.172347,0.000905,1.238058,3.013214,0.010787,0.00276,0.003773,3.137632,
,5.434399,0.000244,1.08592,2.581004,0.012138,0.002328,0.003771,3.8989,
,5.006438,-0.001533,1.008388,2.631323,0.010122,0.002121,0.006634,3.257624,
,5.013375,0.014279,1.076771,3.077752,0.01273,0.003507,0.00561,4.620017,
,4.799302,0.009339,1.368415,2.561519,0.007605,0.001758,0.006968,1.642579,
,5.7793,0.007924,1.352391,2.123822,0.010196,0.004896,0.004685,2.237724,
,4.798136,0.542777,1.538609,2.606103,0.011704,0.019495,0.004734,4.122843,
,4.038439,0.005535,1.04895,2.466033,0.006708,0.002786,0.003773,4.420237,
,5.141277,-0.101429,1.18485,2.546139,0.02965,0.015737,0.005512,5.187132,
,4.931248,-0.000272,1.012817,1.951786,0.008112,0.012397,0.004284,3.114301,
,4.776371,-0.000201,1.960715,1.870244,0.0082,0.006567,0.005424,4.219385,
,5.089831,0.009054,2.784569,3.020753,0.010814,0.006702,0.006267,2.008849,
,5.237735,0.000852,1.691438,3.099253,0.045694,0.002015,0.006972,1.701838,
,4.730446,0.005962,1.12623,1.797097,0.008674,0.002531,0.004736,3.418015,
,4.719632,0.009219,1.032785,2.592473,0.010592,0.009439,0.005335,1.713589,
,4.761616,0.008151,1.019628,2.193451,0.009713,0.008892,0.005938,3.026569,
,4.729049,0.005922,1.612001,3.767933,0.019114,0.001759,0.005139,1.765137,
,4.723573,0.385092,2.299121,1.910258,0.007623,0.003582,0.007132,7.214805,
,4.729742,-0.000845,1.122015,2.696141,0.011085,0.1423,0.004663,1.607611,
,4.778761,0.427031,1.233448,1.992883,0.009276,0.003887,0.017592,3.554801,
,5.481742,0.017707,1.601181,2.939613,0.008145,0.003679,0.003782,5.353972,
,4.807153,0.014169,1.001708,2.018154,0.009463,0.003089,0.004914,6.66027,
,5.526335,0.009409,1.455388,2.04112,0.011782,0.005445,0.005207,3.304914,
,4.74167,0.005467,0.764379,2.394978,0.008914,0.011375,0.004226,2.847234,
,4.750383,0.001232,1.337186,1.937469,0.012625,0.003113,0.003543,2.748775,
,4.741386,0.001775,1.367882,2.083807,0.010006,0.005155,0.006575,6.792067,
,5.224616,0.009073,1.129609,2.829235,0.009103,0.003,0.005723,4.611321,
,5.610077,0.006283,1.034357,2.665832,0.008787,0.003942,0.008282,1.761156,
,4.349552,0.003045,1.057389,4.194861,0.017589,0.004921,0.006681,3.289054,
,5.259459,0.012479,1.472076,2.200112,0.010035,0.017734,0.007259,3.962975,
,5.482236,0.01052,1.92409,2.233547,0.031451,0.002675,0.00612,5.347639,
,4.332555,-0.000191,1.722296,2.840699,0.010949,0.009948,0.003781,1.859678,
,5.183,0.007002,1.010739,3.159292,0.008394,0.003606,0.003857,4.187881,
,4.752906,0.003426,1.343789,3.41017,0.007608,0.011484,0.00512,3.136995,
,5.399659,0.002461,1.314593,2.678247,0.009555,0.00637,0.01253,3.158866,
,5.400743,0.00957,1.052759,2.354351,0.007956,0.009923,0.004071,2.515755,
,5.218795,-0.002697,1.842554,2.622794,0.010396,0.003847,0.007187,3.325503,
,4.742873,0.000563,1.018706,2.411484,0.01509,0.014494,0.003858,1.773488,
,5.129255,-0.006104,0.978845,2.331287,0.011103,0.002036,0.006516,3.226588,
